Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
37047,20091004:0800,2.3,24,-3.0,24,-,-,-,-,-,D
37047,20091005:0800,2.6,24,-5.0,24,-,-,-,-,-,D
37047,20091006:0800,5.4,24,-3.4,24,-,-,-,-,-,D
37047,20091007:0800,6.8,24,-1.6,24,-,-,-,-,-,D
37047,20091008:0800,9.8,24,1.3,24,-,-,-,-,-,D
37047,20091009:0800,3.5,24,-1.8,24,-,-,-,-,-,D
37047,20091010:0800,0.8,24,-1.7,24,-,-,-,-,-,D
37047,20091011:0800,5.9,24,-2.0,24,-,-,-,-,-,D
37047,20091012:0800,11.4,24,-1.6,24,-,-,-,-,-,D
37047,20091013:0800,9.7,24,2.4,24,-,-,-,-,-,D
37047,20091014:0800,10.5,24,2.6,24,-,-,-,-,-,D
37047,20091015:0800,6.5,24,1.7,24,-,-,-,-,-,D
37047,20091016:0800,11.6,24,4.5,24,-,-,-,-,-,D
37047,20091017:0800,10.4,24,4.2,24,-,-,-,-,-,D
37047,20091018:0800,9.2,24,2.5,24,-,-,-,-,-,D
37047,20091019:0800,7.6,24,-0.2,24,-,-,-,-,-,D
37047,20091020:0800,9.4,24,-1.3,24,-,-,-,-,-,D
37047,20091021:0800,7.3,24,1.3,24,-,-,-,-,-,D
37047,20091022:0800,8.8,24,0.4,24,-,-,-,-,-,D
37047,20091023:0800,8.4,24,-2.8,24,-,-,-,-,-,D
37047,20091024:0800,10.9,24,-0.5,24,-,-,-,-,-,D
37047,20091025:0800,10.6,24,2.9,24,-,-,-,-,-,D
37047,20091026:0800,8.4,24,1.7,24,-,-,-,-,-,D
37047,20091027:0800,2.0,24,-0.2,24,-,-,-,-,-,D
37047,20091028:0800,12.4,24,1.0,24,-,-,-,-,-,D
37047,20091029:0800,5.6,24,-2.8,24,-,-,-,-,-,D
37047,20091030:0800,6.7,24,-1.8,24,-,-,-,-,-,D
37047,20091031:0800,10.5,24,-0.5,24,-,-,-,-,-,D
37047,20091101:0800,16.3,24,5.2,24,-,-,-,-,-,D
37047,20091102:0800,15.0,24,2.7,24,-,-,-,-,-,D
37047,20091103:0800,12.2,24,0.1,24,-,-,-,-,-,D
37047,20091104:0800,13.0,24,5.2,24,-,-,-,-,-,D
37047,20091105:0800,10.2,24,0.2,24,-,-,-,-,-,D
37047,20091106:0800,7.8,24,-0.2,24,-,-,-,-,-,D
37047,20091107:0800,9.4,24,2.8,24,-,-,-,-,-,D
37047,20091108:0800,11.4,24,-0.1,24,-,-,-,-,-,D
37047,20091109:0800,15.6,24,2.3,24,-,-,-,-,-,D
37047,20091110:0800,10.9,24,-0.1,24,-,-,-,-,-,D
37047,20091111:0800,14.5,24,0.8,24,-,-,-,-,-,D
37047,20091112:0800,9.3,24,-2.4,24,-,-,-,-,-,D
37047,20091113:0800,9.6,24,2.2,24,-,-,-,-,-,D
37047,20091114:0800,9.0,24,-1.0,24,-,-,-,-,-,D
37047,20091115:0800,9.7,24,0.7,24,-,-,-,-,-,D
37047,20091116:0800,4.7,24,-2.0,24,-,-,-,-,-,D
37047,20091117:0800,5.1,24,-1.5,24,-,-,-,-,-,D
37047,20091118:0800,8.3,24,-2.5,24,-,-,-,-,-,D
37047,20091119:0800,10.6,24,2.6,24,-,-,-,-,-,D
37047,20091120:0800,10.9,24,6.7,24,-,-,-,-,-,D
37047,20091121:0800,15.8,24,8.2,24,-,-,-,-,-,D
37047,20091122:0800,16.1,24,-1.1,24,-,-,-,-,-,D
37047,20091123:0800,14.2,24,3.6,24,-,-,-,-,-,D
37047,20091124:0800,16.6,24,4.2,24,-,-,-,-,-,D
37047,20091125:0800,10.5,24,6.2,24,-,-,-,-,-,D
37047,20091126:0800,12.6,24,2.2,24,-,-,-,-,-,D
37047,20091127:0800,10.5,24,1.4,24,-,-,-,-,-,D
37047,20091128:0800,9.4,24,0.0,24,-,-,-,-,-,D
37047,20091129:0800,12.9,24,0.2,24,-,-,-,-,-,D
37047,20091130:0800,10.4,24,0.3,24,-,-,-,-,-,D
37047,20091201:0800,8.0,24,1.4,24,-,-,-,-,-,D
37047,20091202:0800,11.0,24,3.0,24,-,-,-,-,-,D
37047,20091203:0800,4.8,24,1.1,24,-,-,-,-,-,D
37047,20091204:0800,14.1,24,1.9,24,-,-,-,-,-,D
37047,20091205:0800,18.1,24,4.2,24,-,-,-,-,-,D
37047,20091206:0800,17.0,24,6.8,24,-,-,-,-,-,D
37047,20091207:0800,13.4,24,4.9,24,-,-,-,-,-,D
37047,20091208:0800,11.5,24,7.5,24,-,-,-,-,-,D
37047,20091209:0800,15.3,24,8.4,24,-,-,-,-,-,D
37047,20091210:0800,15.3,24,1.2,24,-,-,-,-,-,D
37047,20091211:0800,17.1,24,5.9,24,-,-,-,-,-,D
37047,20091212:0800,15.7,24,7.0,24,-,-,-,-,-,D
37047,20091213:0800,10.2,24,1.6,24,-,-,-,-,-,D
37047,20091214:0800,9.0,24,0.2,24,-,-,-,-,-,D
37047,20091215:0800,8.7,24,-2.0,24,-,-,-,-,-,D
37047,20091216:0800,9.1,24,2.4,24,-,-,-,-,-,D
37047,20091217:0800,13.0,24,4.1,24,-,-,-,-,-,D
37047,20091218:0800,13.4,24,8.4,24,-,-,-,-,-,D
37047,20091219:0800,14.8,24,0.9,24,-,-,-,-,-,D
37047,20091220:0800,14.3,24,3.4,24,-,-,-,-,-,D
37047,20091221:0800,8.2,24,-2.7,24,-,-,-,-,-,D
37047,20091222:0800,12.3,24,-0.6,24,-,-,-,-,-,D
37047,20091223:0800,15.7,24,2.1,24,-,-,-,-,-,D
37047,20091224:0800,12.8,24,7.6,24,-,-,-,-,-,D
37047,20091225:0800,17.1,24,11.2,24,-,-,-,-,-,D
37047,20091226:0800,15.9,24,11.1,24,-,-,-,-,-,D
37047,20091227:0800,14.0,24,7.6,24,-,-,-,-,-,D
37047,20091228:0800,15.8,24,4.4,24,-,-,-,-,-,D
37047,20091229:0800,18.2,24,7.3,24,-,-,-,-,-,D
37047,20091230:0800,14.5,24,2.3,24,-,-,-,-,-,D
37047,20091231:0800,9.0,24,0.0,24,-,-,-,-,-,D
37047,20100101:0800,10.4,24,5.3,24,-,-,-,-,-,D
37047,20100102:0800,14.5,24,8.5,24,-,-,-,-,-,D
37047,20100103:0800,16.5,24,7.4,24,-,-,-,-,-,D
37047,20100104:0800,18.1,24,4.8,24,-,-,-,-,-,D
37047,20100105:0800,10.8,24,0.5,24,-,-,-,-,-,D
37047,20100106:0800,12.6,24,7.2,24,-,-,-,-,-,D
37047,20100107:0800,11.9,24,5.7,24,-,-,-,-,-,D
37047,20100108:0800,10.2,24,0.3,24,-,-,-,-,-,D
37047,20100109:0800,9.1,24,1.3,24,-,-,-,-,-,D
37047,20100110:0800,10.9,24,5.3,24,-,-,-,-,-,D
37047,20100111:0800,8.6,24,1.1,24,-,-,-,-,-,D
37047,20100112:0800,9.1,24,4.1,24,-,-,-,-,-,D
37047,20100113:0800,13.8,24,5.7,24,-,-,-,-,-,D
37047,20100114:0800,18.2,24,10.3,24,-,-,-,-,-,D
37047,20100115:0800,15.0,24,6.9,24,-,-,-,-,-,D
37047,20100116:0800,12.9,24,7.2,24,-,-,-,-,-,D
37047,20100117:0800,17.8,24,7.8,24,-,-,-,-,-,D
37047,20100118:0800,22.8,24,12.3,24,-,-,-,-,-,D
37047,20100119:0800,17.6,24,12.0,24,-,-,-,-,-,D
37047,20100120:0800,20.4,24,12.1,24,-,-,-,-,-,D
37047,20100121:0800,19.8,24,11.4,24,-,-,-,-,-,D
37047,20100122:0800,18.8,24,8.4,24,-,-,-,-,-,D
37047,20100123:0800,13.4,24,7.0,24,-,-,-,-,-,D
37047,20100124:0800,20.1,24,7.6,24,-,-,-,-,-,D
37047,20100125:0800,14.9,24,5.1,24,-,-,-,-,-,D
37047,20100126:0800,17.4,24,5.0,24,-,-,-,-,-,D
37047,20100127:0800,17.9,24,5.9,24,-,-,-,-,-,D
37047,20100128:0800,17.1,24,9.8,24,-,-,-,-,-,D
37047,20100129:0800,18.8,24,7.6,24,-,-,-,-,-,D
37047,20100130:0800,22.4,24,11.2,24,-,-,-,-,-,D
37047,20100131:0800,16.9,24,3.8,24,-,-,-,-,-,D
37047,20100201:0800,19.0,24,6.9,24,-,-,-,-,-,D
37047,20100202:0800,23.0,24,8.4,24,-,-,-,-,-,D
37047,20100203:0800,23.9,24,9.8,24,-,-,-,-,-,D
37047,20100204:0800,23.7,24,10.5,24,-,-,-,-,-,D
37047,20100205:0800,24.2,24,9.8,24,-,-,-,-,-,D
37047,20100206:0800,24.2,24,8.1,24,-,-,-,-,-,D
37047,20100207:0800,22.8,24,12.1,24,-,-,-,-,-,D
37047,20100208:0800,14.9,24,7.0,24,-,-,-,-,-,D
37047,20100209:0800,19.2,24,5.0,24,-,-,-,-,-,D
37047,20100210:0800,19.1,24,8.8,24,-,-,-,-,-,D
37047,20100211:0800,14.9,24,8.7,24,-,-,-,-,-,D
37047,20100212:0800,18.3,24,5.8,24,-,-,-,-,-,D
37047,20100213:0800,17.4,24,8.7,24,-,-,-,-,-,D
37047,20100214:0800,12.8,24,4.2,24,-,-,-,-,-,D
37047,20100215:0800,12.6,24,1.6,24,-,-,-,-,-,D
37047,20100216:0800,13.0,24,3.1,24,-,-,-,-,-,D
37047,20100217:0800,18.2,24,5.6,24,-,-,-,-,-,D
37047,20100218:0800,17.3,24,7.0,24,-,-,-,-,-,D
37047,20100219:0800,12.9,24,1.2,24,-,-,-,-,-,D
37047,20100220:0800,14.3,24,6.0,24,-,-,-,-,-,D
37047,20100221:0800,16.4,24,9.8,24,-,-,-,-,-,D
37047,20100222:0800,17.0,24,11.5,24,-,-,-,-,-,D
37047,20100223:0800,17.9,24,12.0,24,-,-,-,-,-,D
37047,20100224:0800,17.7,24,11.8,24,-,-,-,-,-,D
37047,20100225:0800,15.5,24,6.9,24,-,-,-,-,-,D
37047,20100226:0800,14.5,24,2.9,24,-,-,-,-,-,D
37047,20100227:0800,15.9,24,5.3,24,-,-,-,-,-,D
37047,20100228:0800,15.4,24,9.1,24,-,-,-,-,-,D
37047,20100301:0800,14.3,24,9.2,24,-,-,-,-,-,D
37047,20100302:0800,10.9,24,2.5,24,-,-,-,-,-,D
37047,20100303:0800,8.8,24,4.0,24,-,-,-,-,-,D
37047,20100304:0800,9.8,24,4.5,24,-,-,-,-,-,D
37047,20100305:0800,14.5,24,6.3,24,-,-,-,-,-,D
37047,20100306:0800,14.8,24,4.3,24,-,-,-,-,-,D
37047,20100307:0800,18.5,24,5.0,24,-,-,-,-,-,D
37047,20100308:0800,17.2,24,8.5,24,-,-,-,-,-,D
37047,20100309:0800,20.7,24,7.7,24,-,-,-,-,-,D
37047,20100310:0800,22.9,24,8.8,24,-,-,-,-,-,D
37047,20100311:0800,16.1,24,6.3,24,-,-,-,-,-,D
37047,20100312:0800,8.1,24,1.7,24,-,-,-,-,-,D
37047,20100313:0800,8.5,24,0.0,24,-,-,-,-,-,D
37047,20100314:0800,14.1,24,5.8,24,-,-,-,-,-,D
37047,20100315:0800,15.6,24,3.8,24,-,-,-,-,-,D
37047,20100316:0800,14.1,24,5.5,24,-,-,-,-,-,D
37047,20100317:0800,12.8,24,0.3,24,-,-,-,-,-,D
37047,20100318:0800,10.1,24,0.8,24,-,-,-,-,-,D
37047,20100319:0800,12.9,24,1.8,24,-,-,-,-,-,D
37047,20100320:0800,14.5,24,3.9,24,-,-,-,-,-,D
37047,20100321:0800,14.2,24,8.6,24,-,-,-,-,-,D
37047,20100322:0800,14.2,24,6.7,24,-,-,-,-,-,D
37047,20100323:0800,10.4,24,3.7,24,-,-,-,-,-,D
37047,20100324:0800,9.0,24,1.3,24,-,-,-,-,-,D
37047,20100325:0800,5.7,24,0.7,24,-,-,-,-,-,D
37047,20100326:0800,11.6,24,4.6,24,-,-,-,-,-,D
37047,20100327:0800,14.4,24,7.7,24,-,-,-,-,-,D
37047,20100328:0800,12.4,24,0.0,24,-,-,-,-,-,D
37047,20100329:0800,11.1,24,2.0,24,-,-,-,-,-,D
37047,20100330:0800,15.6,24,10.6,24,-,-,-,-,-,D
37047,20100331:0800,17.5,24,10.2,24,-,-,-,-,-,D
37047,20100401:0800,12.3,24,10.4,24,-,-,-,-,-,D
37047,20100402:0800,13.2,24,10.4,24,-,-,-,-,-,D
37047,20100403:0800,15.2,24,9.7,24,-,-,-,-,-,D
37047,20100404:0900,12.2,24,0.3,24,-,-,-,-,-,D
37047,20100405:0900,6.7,24,-1.0,24,-,-,-,-,-,D
37047,20100406:0900,12.8,24,1.9,24,-,-,-,-,-,D
37047,20100407:0900,6.6,24,-0.3,24,-,-,-,-,-,D
37047,20100408:0900,8.0,24,-1.1,24,-,-,-,-,-,D
37047,20100409:0900,12.7,24,0.3,24,-,-,-,-,-,D
37047,20100410:0900,12.3,24,0.7,24,-,-,-,-,-,D
37047,20100411:0900,13.8,24,1.9,24,-,-,-,-,-,D
37047,20100412:0900,13.8,24,9.7,24,-,-,-,-,-,D
37047,20100413:0900,13.3,24,8.9,24,-,-,-,-,-,D
37047,20100414:0900,11.8,24,4.4,24,-,-,-,-,-,D
37047,20100415:0900,9.4,24,5.7,24,-,-,-,-,-,D
37047,20100416:0900,7.9,24,-2.3,24,-,-,-,-,-,D
37047,20100417:0900,7.7,24,-0.7,24,-,-,-,-,-,D
37047,20100418:0900,13.6,24,1.0,24,-,-,-,-,-,D
37047,20100419:0900,11.0,24,2.3,24,-,-,-,-,-,D
37047,20100420:0900,10.9,24,1.3,24,-,-,-,-,-,D
37047,20100421:0900,14.5,24,1.1,24,-,-,-,-,-,D
37047,20100422:0900,14.2,24,1.8,24,-,-,-,-,-,D
37047,20100423:0900,12.5,24,7.8,24,-,-,-,-,-,D
37047,20100424:0900,12.5,24,4.1,24,-,-,-,-,-,D
37047,20100425:0900,12.6,24,4.6,24,-,-,-,-,-,D
37047,20100426:0900,12.5,24,3.8,24,-,-,-,-,-,D
37047,20100427:0900,5.4,24,2.8,24,-,-,-,-,-,D
37047,20100428:0900,13.4,24,4.4,24,-,-,-,-,-,D
37047,20100429:0900,9.0,24,5.4,24,-,-,-,-,-,D
37047,20100430:0900,9.7,24,4.8,24,-,-,-,-,-,D
37047,20100501:0900,7.3,24,-0.3,24,-,-,-,-,-,D
37047,20100502:0900,5.5,24,-1.7,24,-,-,-,-,-,D
37047,20100503:0900,7.8,24,-1.1,24,-,-,-,-,-,D
37047,20100504:0900,6.6,24,1.0,24,-,-,-,-,-,D
37047,20100505:0900,6.2,24,-1.5,24,-,-,-,-,-,D
37047,20100506:0900,9.5,24,-0.8,24,-,-,-,-,-,D
37047,20100507:0900,12.5,24,8.4,24,-,-,-,-,-,D
37047,20100508:0900,11.8,24,0.1,24,-,-,-,-,-,D
37047,20100509:0900,7.9,24,-0.7,24,-,-,-,-,-,D
37047,20100510:0900,9.5,24,2.3,24,-,-,-,-,-,D
37047,20100511:0900,11.1,24,0.0,24,-,-,-,-,-,D
37047,20100512:0900,9.6,24,0.3,24,-,-,-,-,-,D
37047,20100513:0900,10.4,24,4.3,24,-,-,-,-,-,D
37047,20100514:0900,12.0,24,2.9,24,-,-,-,-,-,D
37047,20100515:0900,8.0,24,3.9,24,-,-,-,-,-,D
